id,created_date,updated_at,full_name,email,country,status,age,balance_eur,notes
1,2024-05-16,2024-06-05T01:57:15Z,Łukasz Nowak,ukasz.nowak.1@example.org,PL,active,55,6204.83,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo. Additional detail: résumé, coöperate, smörgåsbord. Priority flagged; please confirm ""yes"" or ""no""."
2,2024-11-12,2024-11-25T15:46:57Z,Pablo Verhoeven,pablo.verhoeven.2@mail.test,FR,active,64,481.77,"Important: verify billing address, it changed recently."
3,2024-03-18,2024-04-15T21:33:16Z,Emma Martin,emma.martin.3@sample.io,PL,active,25,3465.41,"Prefers email over phone, often traveling between offices."
4,2023-07-09,2023-07-24T00:45:56Z,Sophia Brown,sophia.brown.4@mail.test,ES,active,49,1376.7,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
5,2023-09-05,2023-09-16T22:05:19Z,Jörg Müller,j.rg.m.ller.5@example.com,NL,active,21,5818.56,"Reminder: send update by Friday, include the Q2 summary."
6,2024-06-02,2024-06-28T04:36:54Z,Ben García,ben.garc.a.6@example.com,US,active,75,7185.8,"Asked about discounts, mentioned budget constraints."
7,2025-02-20,2025-02-25T23:22:04Z,Pablo Lopez,pablo.lopez.7@example.com,IT,active,49,6470.55,"Reminder: send update by Friday, include the Q2 summary."
8,2024-01-18,2024-02-14T21:40:55Z,Noah Bianchi,noah.bianchi.8@example.com,ES,active,63,1432.61,"Prefers email over phone, often traveling between offices."
9,2025-05-11,2025-06-04T02:22:26Z,Nico Johnson,nico.johnson.9@example.org,FR,active,22,5938.09,"Customer asked for a faster turnaround, please follow up."
10,2023-01-16,2023-01-20T19:31:29Z,Sophia Müller,sophia.m.ller.10@example.org,PL,active,37,3519.82,"Asked about discounts, mentioned budget constraints."
11,2025-03-28,2025-04-07T20:45:46Z,Liam Novak,liam.novak.11@mail.test,IT,blocked,27,6647.02,"Important: verify billing address, it changed recently."
12,2023-07-08,2023-07-28T16:04:12Z,James Dubois,james.dubois.12@mail.test,FR,active,69,6921.22,"Reminder: send update by Friday, include the Q2 summary."
13,2023-03-22,2023-03-24T02:39:39Z,Emma Hansen,emma.hansen.13@sample.io,IT,active,39,7739.51,
14,2024-10-03,2024-10-18T13:25:54Z,Marta Johnson,marta.johnson.14@example.com,ES,active,22,3501.07,"Noted issue with CSV export, ""quote handling"" needs review."
15,2025-01-06,2025-01-25T12:08:58Z,Greta Smith,greta.smith.15@sample.io,IT,active,20,4437.53,"Follow-up notes for Greta Smith in IT. Potential expansion flagged; revisit after the next billing cycle. We discussed integration details and next steps for data migration. Account prefers monthly invoicing, with a net-30 payment window. We discussed integration details and next steps for data migration. The client requested a detailed timeline and milestone checklist. Follow-up notes for Greta Smith in IT. Potential expansion flagged; revisit after the next billing cycle. We discussed integration details and next steps for data migration."
